HBs抗原(コントロール比),HBs-AG-COI,
HBs抗原(希釈倍率),HBs-AG-DIL,
HBs抗原(吸光度),Hbs-AG-OD ,
HBs抗原(定性),Hbs-AG-RESULT,
HBs抗原(定量),HBs-AG-QUANT,
HBs抗原(陽性コントロール比),HBs-AG-POS-COI,
HBs抗体(希釈倍率),HBs-AB-DIL,
HBs抗体(定性),HBs-AB-RESULT,
HBs抗体(定量),HBs-AB-QUANT,
HCV核酸増幅検査(定性),HCV-NRESULT,
HCV核酸増幅検査(定量),HCV-NQUANT,
HCV抗原検査(定性),HCV-AG-RESULT,
HCV抗原検査(定量),HCV-AG-QUANT,
HCV抗体(コントロール比),HCV-AB-COI,
HCV抗体(希釈倍率),HCV-AB-DIL,
HCV抗体(定性),HCV-AB-RESULT,
HCV抗体(陽性コントロール比),HCV-AB-POS-COI,
HIV-1(ウイルスRNA定量),HIV-1-QUANT,
HIV-1(ウイルスRNA定量判定),HIV-1-RESULT,
HIV-1+2抗体・p24抗原(コントロール比),HIV-1P2-AB-P24-COI,
HIV-1+2抗体・p24抗原(吸光度),HIV-1P2-AB-OD,
HIV-1+2抗体・p24抗原(定性),HIV-1P2-AB-P24-RESULT,1
HIV-1+2抗体・p24抗原(定量),HIV-1P2-AB-P24-QUANT,HIV1P2ABP24QUANT
HIV-1+2抗体・p24抗原(陽性コントロール比),HIV-1P2-AB-P24-POS-COI,HIV1P2ABP24POSCOI
HIV-1+2抗体(コントロール比),HIV-1P2-AB-COI,
HIV-1+2抗体(希釈倍率),HIV-1P2-AB-DIL,
HIV-1+2抗体(定性),HIV-1P2-AB-RESULT,
HIV-1+2抗体(陽性コントロール比),HIV-1P2-AB-POS-COI,
HIV-1抗体(希釈倍率),HIV-1-AB-DIL,
HIV-1抗体(定性),HIV-1-AB-RESULT,
HIV-2抗体(希釈倍率),HIV-2-AB-DIL,
HIV-2抗体(定性),HIV-2-AB-RESULT,
梅毒STS(定性),STS-QLRESULT,
梅毒STS(定量),STS-QUANT,
梅毒TP抗体(定性),TP-RESULT,
梅毒TP抗体(定量、陽性コントロール比),TP-POS-COI,
梅毒TP抗体(定量),TP-QUANT,
梅毒TP抗体(半定量),TP-HQUANT,
ALB,ALB,
ALP,ALP,
ALT,ALT,
AMY,AMY,
APTT,APTT,
AST,AST,
FBG,FBG,
BNP,BNP,
BG,BG,
BUN,BUN,
Ca,Ca,
CBG,CBG,
ChE,ChE,
CK,CK,
Cl,Cl,
Cre,Cre,
CRP,CRP,
CRP-class,CRP-class,
CTG,CTG,
Cys-C,Cys-C,
D-Bil,D-Bil,
DD,DD,
DD-定性,DD-class,
FTG,FTG,
GGT,GGT,
Hb,Hb,
HbA1c-NGSP,HbA1c-NGSP,
HDL-C,HDL-C,
K,K,
LD,LD,
LDL-C,LDL-C,
Na,Na,
NT-proBNP,NT-proBNP,
PLT,PLT,
PT-INR,PT-INR,
PT-活性%,PT-Act,
PT-秒,PT-Sec,
PT比,PT-Ratio,
RBC,RBC,
T-Bil,T-Bil,
T-CHO,T-CHO,
TG,TG,
TP,TP,
U-A/C,U-A/C,
U-Bld,U-Bld,
U-Bld-半定量,U-Bld-HalfQty,
U-Glu,U-Glu,
U-Glu-半定量,U-Glu-HalfQty,
U-P/C,U-P/C,
U-TP,U-TP,
U-TP-半定量,U-TP-HalfQty,
UA,UA,
WBC,WBC,
血液型-ABO,BLD-ABO,
血液型-Rh,BLD-Rh,
