区分名称,予備区分名称,生活習慣病フラグ,救急フラグ,データ区分,大項目,FHIR項目名称,FHIR識別文字列,略称,販売名称,材料(JLAC11),測定法(JLAC11),JLAC11コード,単位,材料(JLAC10),検査方法(JLAC10-測定法),JLAC10コード,基準値フラグ(下限),基準値フラグ(上限),基準値フラグ(判定),データタイプ,値の下限,値の上限,数値型の場合の形式,コード型の場合の値リスト,コード型のOID,並び順,適用開始日,適用終了日,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ビトロス スライドTP,血清,反射測光法(レフラクトメトリー)_ビトロス スライドTP,C1002000025000155,g/dL,血清,反射測光法(レフラクトメトリー),3A010000002329101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ビトロス スライドTP,血漿(ヘパリン入り),反射測光法(レフラクトメトリー)_ビトロス スライドTP,C1002000024300155,g/dL,血漿,反射測光法(レフラクトメトリー),3A010000002229101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,ビトロス スライドTP,血漿,反射測光法(レフラクトメトリー)_ビトロス スライドTP,C1002000024000155,g/dL,血漿,反射測光法(レフラクトメトリー),3A010000002229101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,フレックスカートリッジ 総蛋白 TP,血清,可視吸光光度法_フレックスカートリッジ 総蛋白 TP,C1002000025000255,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,フレックスカートリッジ 総蛋白 TP,血漿(ヘパリン入り),可視吸光光度法_フレックスカートリッジ 総蛋白 TP,C1002000024300255,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,フレックスカートリッジ 総蛋白 TP,血漿,可視吸光光度法_フレックスカートリッジ 総蛋白 TP,C1002000024000255,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･A,血清,可視吸光光度法_TP試薬･A,C1002000025000355,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･A,血漿(EDTA入り),可視吸光光度法_TP試薬･A,C1002000024200355,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･A,血漿(ヘパリン入り),可視吸光光度法_TP試薬･A,C1002000024300355,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･A,血漿,可視吸光光度法_TP試薬･A,C1002000024000355,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･B｢コクサイ｣,血清,可視吸光光度法_TP試薬･B｢コクサイ｣,C1002000025000455,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･B｢コクサイ｣,血漿(EDTA入り),可視吸光光度法_TP試薬･B｢コクサイ｣,C1002000024200455,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･B｢コクサイ｣,血漿(ヘパリン入り),可視吸光光度法_TP試薬･B｢コクサイ｣,C1002000024300455,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP試薬･B｢コクサイ｣,血漿,可視吸光光度法_TP試薬･B｢コクサイ｣,C1002000024000455,g/dL,血漿,可視吸光光度法,3A010000002227101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,自動分析用試薬｢生研｣TP,血清,可視吸光光度法_自動分析用試薬｢生研｣TP,C1002000025000555,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
生化学検査,,1,1,検査,総蛋白(TP),総蛋白(TP),TP,TP,TP オート｢TBA｣,血清,可視吸光光度法_TP オート｢TBA｣,C1002000025000655,g/dL,血清,可視吸光光度法,3A010000002327101,0,0,0,PQ,0,0,,,,100,00000000,,,
